Datum,Repository,Commit Message,Stunden
2025-08-14,VPN Dashboard,"Fix health check endpoint: /api/healthcheck -> /api/health ",2
2025-08-14,VPN Dashboard,"Fix Keycloak double initialization and add debug logging ",3
2025-08-14,VPN Dashboard,"Fix: Add logger.js to Docker image ",2
2025-08-14,VPN Dashboard,"fix: Copy node_modules from builder stage to fix dependency resolution ",1.5
2025-08-14,VPN Dashboard,"Fix: Temporarily disable logging middleware and add test endpoint ",2
2025-08-14,VPN Dashboard,"trigger: Force rebuild Docker image with dependency fix ",2
2025-08-15,Nebula Healthcheck Service,"🚁 Implement Enhanced Device Identification System ",2
2025-08-15,VPN Dashboard,"chore: Bump version to 1.0.1 - trigger rebuild ",1
2025-08-15,VPN Dashboard,"chore: Version bump to 1.0.2 with final fixes ",1
2025-08-15,VPN Dashboard,"fix: Add missing express-session dependency ",1.5
2025-08-15,VPN Dashboard,"fix: Add trust proxy setting for load balancer SSL termination ",1.5
2025-08-15,VPN Dashboard,"fix: Device lookup functionality and comprehensive cleanup ",1.5
2025-08-15,VPN Dashboard,"fix: Force HTTPS redirect URIs in production ",1.5
2025-08-15,VPN Dashboard,"fix: Update device details API call to use direct PKI lookup ",1.5
2025-08-17,VPN Dashboard,"Add drone monitoring features and UI improvements ",2
2025-08-22,Nebula Healthcheck Service,"feat: implement unified monitoring system with GPS category ",4
2025-08-22,Nebula Healthcheck Service,"feat: implement unified telemetry logging with extended status endpoint ",4
2025-08-22,Nebula Healthcheck Service,"fix: extract telemetry categories from syslog messages ",1.5
2025-08-22,Nebula Healthcheck Service,"fix: update Swagger host and dependencies ",1.5
2025-08-23,Nebula Healthcheck Service,"cleanup: remove manual migration scripts; add automatic migration docs ",2.5
2025-08-23,Nebula Healthcheck Service,"debug: add logging to trace message parsing and category extraction ",1.5
2025-08-23,Nebula Healthcheck Service,"docs: clean up migration files and improve README formatting ",0.5
2025-08-23,Nebula Healthcheck Service,"feat: add BATTERY; GPS; ZEROTIER categories to database schema ",4
2025-08-23,Nebula Healthcheck Service,"feat: implement automatic database migrations on startup ",4
2025-08-23,Nebula Healthcheck Service,"fix: add simple BATTERY/GPS categories migration to entrypoint ",1.5
2025-08-23,Nebula Healthcheck Service,"fix: change debug to info logging for monitoring messages ",1.5
2025-08-24,Nebula Healthcheck Service,"Enable telemetry data extraction and storage for /status endpoint ",2
2025-08-24,Nebula Healthcheck Service,"feat: Complete Enhanced Status API v2.0 implementation ",4
2025-08-24,Nebula Healthcheck Service,"feat: Implement complete E2E telemetry monitoring pipeline ",4
2025-08-24,Nebula Healthcheck Service,"feat: Implement Device Identification System with PKI sync ",4
2025-08-24,Nebula Healthcheck Service,"feat: Implement Enhanced Status API v2.0 with comprehensive monitoring ",4
2025-08-24,Nebula Healthcheck Service,"Fix device type detection: use deviceName instead of deviceID for pattern matching ",2
2025-08-24,Nebula Healthcheck Service,"Fix PingStatus struct duplication to enable telemetry data in /status ",2
2025-08-24,Nebula Healthcheck Service,"Fix telemetry data extraction from raw_message JSON ",2
2025-08-24,Nebula Healthcheck Service,"Fix telemetry data loading by using correct IP address format ",2.5
2025-08-24,Nebula Healthcheck Service,"Integrate PKI-based device type classification ",2
2025-08-24,Nebula VPN PKI,"Add device.type to /vpn/endpoints/active API response ",2
2025-08-25,Nebula Healthcheck Service,"🚀 API-Based Database Schema & Performance Analysis ",2
2025-08-25,Nebula Healthcheck Service,"🗄️ Database Performance Optimization System ",2
2025-08-25,Nebula VPN PKI,"Fix AttributeError: device.type -> device.device_type ",2
2025-08-25,VPN Dashboard,"Add device API routes and uptime endpoint ",2
2025-08-25,VPN Dashboard,"Clean up code formatting in DeviceMonitorPage ",2.5
2025-08-25,VPN Dashboard,"Refactor Device Monitor to use dynamic API data ",2
2025-08-26,Nebula Healthcheck Service,"Fix: /admin/schema API-Endpunkt - Verbesserte Fehlerbehandlung und Datenbankabfragen ",2
2025-08-26,Nebula Healthcheck Service,"Fix: Ersetze NOW() in empfohlenen Index-Definitionen durch statisches Datum ",3
2025-08-26,Nebula Healthcheck Service,"Fix: Ersetze NOW() in Index-Prädikat durch statisches Datum für IMMUTABLE-Anforderung ",2
2025-08-26,Nebula Healthcheck Service,"Implement database performance optimization API with schema and analysis endpoints ",2
2025-08-26,Nebula Healthcheck Service,"Optimiere Status-API mit Telemetriedaten in endpoint_status ",2
2025-08-26,Nebula Healthcheck Service,"Optimize: /status API für schnellere Abfragen durch direkte Nutzung der endpoint_status Tabelle ",2
2025-08-27,Nebula Healthcheck Service,"Add interface_type mapping (1=main; 2=FTS/secondary) ",2
2025-08-27,Nebula Healthcheck Service,"Add script to create parent workspace ",2
2025-08-27,Nebula Healthcheck Service,"Add SQL script for database schema extraction ",2
2025-08-27,Nebula Healthcheck Service,"Add version information and simplify schema extraction ",2.5
2025-08-27,Nebula Healthcheck Service,"Fix: String-Typ für device.type und verbesserte Schema-Abfrage für Datenbank ",2
2025-08-27,Nebula Healthcheck Service,"fix(healthcheck): Fix ping status bug for drones with CIDR notation ",1.5
2025-08-27,Nebula Healthcheck Service,"Implement interface_type support in GetAllStatuses and add GetEnhancedEndpointStatus for VPN-Dashboa",2
2025-08-27,Nebula Healthcheck Service,"Implement VPN-Dashboard compatibility with interface_type support and enhanced filtering ",2
2025-08-27,Nebula Healthcheck Service,"Implementiere interface_type Unterstützung für VPN-Endpunkte ",2
2025-08-27,Nebula Healthcheck Service,"Migration: interface_type Spalte mit korrekter Versionsnummer 006 hinzugefügt ",2
2025-08-27,Nebula VPN PKI,"Enhance PKI with consistent device_type naming and improve logging ",2
2025-08-27,Nebula VPN PKI,"Update .gitignore to exclude cert_output/ and nebula_bin/ directories ",2
2025-08-27,VPN Dashboard,"Optimiere DroneMonitorPage: Reduziere Flackern durch selektives DOM-Update und separate Zeitanzeige ",2
2025-08-27,VPN Dashboard,"Verbesserte DOM-Updates im Drone Monitor und API-Authentifizierung ",2
2025-08-28,Nebula Healthcheck Service,"Add detailed logging to StatusHandler to diagnose scan errors ",2
2025-08-28,Nebula Healthcheck Service,"Add new API endpoints for device-specific status queries ",1.5
2025-08-28,Nebula Healthcheck Service,"Added device-specific API routes for status retrieval by deviceID and deviceName ",1.5
2025-08-28,Nebula Healthcheck Service,"Fix interface_type handling and add special case for M24-12 device ",1.5
2025-08-28,Nebula Healthcheck Service,"Fix: Add explicit IP address cast to text to resolve scan error ",2
2025-08-28,Nebula Healthcheck Service,"Fix: Remove duplicate MapInterfaceType implementation ",4
2025-08-28,Nebula Healthcheck Service,"Fix: Resolve router conflict between deviceID and deviceName routes ",2
2025-08-28,Nebula Healthcheck Service,"Format: Code style improvements in route handlers ",2
2025-08-28,Nebula Healthcheck Service,"Optimize GetActiveAlerts: Return only the latest alert per category ",2
2025-08-28,Nebula Healthcheck Service,"Refactor: Remove hardcoded M24-12 device logic from interface_type mapping ",2
2025-08-28,Nebula Healthcheck Service,"Unterstützung für interface_type-Feld hinzugefügt; um korrekte Netzwerktypen (main/fts) anzuzeigen ",2
2025-08-28,VPN Dashboard,"Update test_healthcheck_apis.sh to use English for all text and add detailed timing information ",2.5
2025-08-29,Nebula Healthcheck Service,"Feature: Integration von interface_type in die API und Aufräumen des Codes ",2
2025-08-29,Nebula Healthcheck Service,"Feature: interface_type in Enhanced API Antwort hinzugefügt ",2
2025-08-29,Nebula Healthcheck Service,"Fix: Typisierung von interface_type angepasst; um numerische Werte aus PKI zu unterstützen ",2
2025-08-29,Nebula Healthcheck Service,"Fix: Verbesserte MapInterfaceType-Funktion zur Unterstützung von String- und numerischen Werten ",2
2025-08-29,VPN Dashboard,"Fix API endpoint URL format and improve auth handling; update Makefile ",2.5
2025-08-29,VPN Dashboard,"Fix device status display in dashboard and monitor views: Correctly interpret connection status from",2
2025-08-29,VPN Dashboard,"Fix: Korrektur der URL für Enhanced Status API im Healthcheck-Service und verbesserte Interface-Type",2
2025-08-29,VPN Dashboard,"Reorganize test scripts and update .gitignore ",1
2025-08-30,Nebula Healthcheck Service,"docs: Update Swagger documentation ",0.5
2025-08-30,Nebula Healthcheck Service,"feat(scripts): Add staging database connection script ",4
2025-08-30,Nebula Healthcheck Service,"feat(syslog): Enhance telemetry debug logging for better diagnostics ",4
2025-08-30,Nebula Healthcheck Service,"fix(scripts): Improve drone simulation reliability ",1.5
2025-08-30,Nebula Healthcheck Service,"refactor: Remove examples directory ",2.5
2025-08-31,Nebula VPN PKI,"Add KEYCLOAK_CLIENT_SECRET replacement to install_template.sh download endpoint ",2
2025-08-31,Nebula VPN PKI,"Always save device_type; use Keycloak client_secret from env; replace login print with structured lo",2
2025-08-31,Nebula VPN PKI,"Cleanup: Entfernt ungenutzte Variable 'license' und nicht verwendete Imports. Code für PKI-Backend g",2
2025-08-31,Nebula VPN PKI,"Fix indentation and block errors in login_post handler (logger placement; syntax) ",2
2025-08-31,Nebula VPN PKI,"fix: add client_secret from env for Keycloak login; consistent with shell and infra ",1.5
2025-08-31,Nebula VPN PKI,"fix: always save device_type; lint fixes; use env for Keycloak secret; resolve function name collisi",1.5
